county,GEOID,NAME,category,table_id,variable,estimate,moe,summary_est,summary_moe,subset_ID,label,concept
Missoula County,30063001402,Census Tract 14.02; Missoula County; Montana,IncomePoverty,B06012,B06012_003,306,277,3937,420,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Missoula County,30063001501,Census Tract 15.01; Missoula County; Montana,IncomePoverty,B06012,B06012_003,686,393,2677,570,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Missoula County,30063001502,Census Tract 15.02; Missoula County; Montana,IncomePoverty,B06012,B06012_003,234,177,4410,455,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Missoula County,30063001601,Census Tract 16.01; Missoula County; Montana,IncomePoverty,B06012,B06012_003,201,178,4983,638,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Missoula County,30063001602,Census Tract 16.02; Missoula County; Montana,IncomePoverty,B06012,B06012_003,319,271,2968,398,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Missoula County,30063001801,Census Tract 18.01; Missoula County; Montana,IncomePoverty,B06012,B06012_003,162,99,1739,290,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Missoula County,30063001802,Census Tract 18.02; Missoula County; Montana,IncomePoverty,B06012,B06012_003,356,149,2915,346,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Musselshell County,30065000100,Census Tract 1; Musselshell County; Montana,IncomePoverty,B06012,B06012_003,208,116,3001,236,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Musselshell County,30065000200,Census Tract 2; Musselshell County; Montana,IncomePoverty,B06012,B06012_003,192,90,1999,166,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Park County,30067000100,Census Tract 1; Park County; Montana,IncomePoverty,B06012,B06012_003,103,59,1882,204,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Park County,30067000200,Census Tract 2; Park County; Montana,IncomePoverty,B06012,B06012_003,642,271,5107,289,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Park County,30067000300,Census Tract 3; Park County; Montana,IncomePoverty,B06012,B06012_003,213,178,3401,406,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Park County,30067000400,Census Tract 4; Park County; Montana,IncomePoverty,B06012,B06012_003,556,220,5493,386,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Park County,30067000500,Census Tract 5; Park County; Montana,IncomePoverty,B06012,B06012_003,208,108,1461,199,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Park County,30067980600,Census Tract 9806; Park County; Montana,IncomePoverty,B06012,B06012_003,0,11,0,11,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Petroleum County,30069000100,Census Tract 1; Petroleum County; Montana,IncomePoverty,B06012,B06012_003,52,30,401,85,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Phillips County,30071060200,Census Tract 602; Phillips County; Montana,IncomePoverty,B06012,B06012_003,514,193,4134,35,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Pondera County,30073977000,Census Tract 9770; Pondera County; Montana,IncomePoverty,B06012,B06012_003,300,119,3590,198,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Pondera County,30073977200,Census Tract 9772; Pondera County; Montana,IncomePoverty,B06012,B06012_003,204,77,2309,214,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Powder River County,30075000100,Census Tract 1; Powder River County; Montana,IncomePoverty,B06012,B06012_003,79,47,1717,123,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Powell County,30077000100,Census Tract 1; Powell County; Montana,IncomePoverty,B06012,B06012_003,168,66,1410,201,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Powell County,30077000200,Census Tract 2; Powell County; Montana,IncomePoverty,B06012,B06012_003,642,310,3840,242,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Prairie County,30079000100,Census Tract 1; Prairie County; Montana,IncomePoverty,B06012,B06012_003,139,117,1216,163,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Ravalli County,30081000100,Census Tract 1; Ravalli County; Montana,IncomePoverty,B06012,B06012_003,506,282,4509,547,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Ravalli County,30081000201,Census Tract 2.01; Ravalli County; Montana,IncomePoverty,B06012,B06012_003,328,198,4034,322,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Ravalli County,30081000203,Census Tract 2.03; Ravalli County; Montana,IncomePoverty,B06012,B06012_003,59,58,3285,505,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Ravalli County,30081000204,Census Tract 2.04; Ravalli County; Montana,IncomePoverty,B06012,B06012_003,115,77,5687,557,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Ravalli County,30081000300,Census Tract 3; Ravalli County; Montana,IncomePoverty,B06012,B06012_003,435,388,3275,504,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Ravalli County,30081000401,Census Tract 4.01; Ravalli County; Montana,IncomePoverty,B06012,B06012_003,252,130,3132,407,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Ravalli County,30081000402,Census Tract 4.02; Ravalli County; Montana,IncomePoverty,B06012,B06012_003,148,130,5829,710,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Ravalli County,30081000501,Census Tract 5.01; Ravalli County; Montana,IncomePoverty,B06012,B06012_003,24,56,1216,261,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Ravalli County,30081000502,Census Tract 5.02; Ravalli County; Montana,IncomePoverty,B06012,B06012_003,267,136,4510,624,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Ravalli County,30081000601,Census Tract 6.01; Ravalli County; Montana,IncomePoverty,B06012,B06012_003,85,63,1553,240,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Ravalli County,30081000602,Census Tract 6.02; Ravalli County; Montana,IncomePoverty,B06012,B06012_003,431,264,5342,747,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Ravalli County,30081000700,Census Tract 7; Ravalli County; Montana,IncomePoverty,B06012,B06012_003,277,138,1833,332,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Ravalli County,30081000800,Census Tract 8; Ravalli County; Montana,IncomePoverty,B06012,B06012_003,0,11,1322,220,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Richland County,30083070100,Census Tract 701; Richland County; Montana,IncomePoverty,B06012,B06012_003,38,33,1549,224,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Richland County,30083070200,Census Tract 702; Richland County; Montana,IncomePoverty,B06012,B06012_003,114,55,1772,218,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Richland County,30083070301,Census Tract 703.01; Richland County; Montana,IncomePoverty,B06012,B06012_003,78,66,2895,366,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Richland County,30083070302,Census Tract 703.02; Richland County; Montana,IncomePoverty,B06012,B06012_003,172,193,1880,496,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Richland County,30083070400,Census Tract 704; Richland County; Montana,IncomePoverty,B06012,B06012_003,195,107,3207,380,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Roosevelt County,30085080100,Census Tract 801; Roosevelt County; Montana,IncomePoverty,B06012,B06012_003,128,64,1707,141,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Roosevelt County,30085940001,Census Tract 9400.01; Roosevelt County; Montana,IncomePoverty,B06012,B06012_003,233,77,4475,330,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Roosevelt County,30085940002,Census Tract 9400.02; Roosevelt County; Montana,IncomePoverty,B06012,B06012_003,662,264,4054,334,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Rosebud County,30087000100,Census Tract 1; Rosebud County; Montana,IncomePoverty,B06012,B06012_003,294,165,2053,227,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Rosebud County,30087000200,Census Tract 2; Rosebud County; Montana,IncomePoverty,B06012,B06012_003,120,87,1104,197,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Rosebud County,30087000300,Census Tract 3; Rosebud County; Montana,IncomePoverty,B06012,B06012_003,44,42,2153,245,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Rosebud County,30087940400,Census Tract 9404; Rosebud County; Montana,IncomePoverty,B06012,B06012_003,488,221,2858,230,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Sanders County,30089000100,Census Tract 1; Sanders County; Montana,IncomePoverty,B06012,B06012_003,585,237,4384,391,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Sanders County,30089000201,Census Tract 2.01; Sanders County; Montana,IncomePoverty,B06012,B06012_003,173,62,2131,328,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Sanders County,30089000202,Census Tract 2.02; Sanders County; Montana,IncomePoverty,B06012,B06012_003,611,189,4261,410,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Sanders County,30089940300,Census Tract 9403; Sanders County; Montana,IncomePoverty,B06012,B06012_003,367,92,1950,199,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Sheridan County,30091090200,Census Tract 902; Sheridan County; Montana,IncomePoverty,B06012,B06012_003,275,104,2336,209,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Sheridan County,30091090400,Census Tract 904; Sheridan County; Montana,IncomePoverty,B06012,B06012_003,77,28,1259,151,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Silver Bow County,30093000101,Census Tract 1.01; Silver Bow County; Montana,IncomePoverty,B06012,B06012_003,204,139,1748,253,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Silver Bow County,30093000102,Census Tract 1.02; Silver Bow County; Montana,IncomePoverty,B06012,B06012_003,246,111,2503,476,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Silver Bow County,30093000200,Census Tract 2; Silver Bow County; Montana,IncomePoverty,B06012,B06012_003,253,130,4499,552,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Silver Bow County,30093000300,Census Tract 3; Silver Bow County; Montana,IncomePoverty,B06012,B06012_003,380,180,2732,420,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Silver Bow County,30093000400,Census Tract 4; Silver Bow County; Montana,IncomePoverty,B06012,B06012_003,277,170,4058,480,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Silver Bow County,30093000500,Census Tract 5; Silver Bow County; Montana,IncomePoverty,B06012,B06012_003,211,167,4780,384,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Silver Bow County,30093000600,Census Tract 6; Silver Bow County; Montana,IncomePoverty,B06012,B06012_003,373,232,4646,459,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Silver Bow County,30093000700,Census Tract 7; Silver Bow County; Montana,IncomePoverty,B06012,B06012_003,391,237,3496,407,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Silver Bow County,30093000800,Census Tract 8; Silver Bow County; Montana,IncomePoverty,B06012,B06012_003,355,308,6081,561,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Stillwater County,30095966400,Census Tract 9664; Stillwater County; Montana,IncomePoverty,B06012,B06012_003,95,51,3835,283,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Stillwater County,30095966500,Census Tract 9665; Stillwater County; Montana,IncomePoverty,B06012,B06012_003,153,66,2015,202,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Stillwater County,30095966600,Census Tract 9666; Stillwater County; Montana,IncomePoverty,B06012,B06012_003,203,117,3115,279,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Sweet Grass County,30097967000,Census Tract 9670; Sweet Grass County; Montana,IncomePoverty,B06012,B06012_003,267,137,3685,7,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Teton County,30099000100,Census Tract 1; Teton County; Montana,IncomePoverty,B06012,B06012_003,126,54,1801,149,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Teton County,30099000200,Census Tract 2; Teton County; Montana,IncomePoverty,B06012,B06012_003,215,89,2054,216,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Teton County,30099000300,Census Tract 3; Teton County; Montana,IncomePoverty,B06012,B06012_003,194,76,2290,231,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Toole County,30101000100,Census Tract 1; Toole County; Montana,IncomePoverty,B06012,B06012_003,376,206,1292,209,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Toole County,30101000200,Census Tract 2; Toole County; Montana,IncomePoverty,B06012,B06012_003,430,176,3119,215,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Toole County,30101980000,Census Tract 9800; Toole County; Montana,IncomePoverty,B06012,B06012_003,0,11,0,11,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Treasure County,30103963500,Census Tract 9635; Treasure County; Montana,IncomePoverty,B06012,B06012_003,80,73,761,127,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Valley County,30105100100,Census Tract 1001; Valley County; Montana,IncomePoverty,B06012,B06012_003,162,79,1659,193,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Valley County,30105100500,Census Tract 1005; Valley County; Montana,IncomePoverty,B06012,B06012_003,156,86,2470,178,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Valley County,30105940600,Census Tract 9406; Valley County; Montana,IncomePoverty,B06012,B06012_003,281,113,3217,238,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Wheatland County,30107000100,Census Tract 1; Wheatland County; Montana,IncomePoverty,B06012,B06012_003,115,65,2019,7,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Wibaux County,30109000100,Census Tract 1; Wibaux County; Montana,IncomePoverty,B06012,B06012_003,84,64,1130,162,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111000200,Census Tract 2; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,423,198,3471,483,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111000300,Census Tract 3; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,463,265,3118,421,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111000401,Census Tract 4.01; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,364,169,2583,336,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111000402,Census Tract 4.02; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,320,145,2921,430,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111000500,Census Tract 5; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,190,136,4557,581,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111000600,Census Tract 6; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,60,54,1966,189,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111000701,Census Tract 7.01; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,152,121,6086,960,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111000704,Census Tract 7.04; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,268,195,3417,500,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111000705,Census Tract 7.05; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,425,245,4104,516,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111000706,Census Tract 7.06; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,406,181,4389,434,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111000707,Census Tract 7.07; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,328,191,6440,1113,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111000708,Census Tract 7.08; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,431,492,2050,567,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111000800,Census Tract 8; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,324,298,4755,561,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111000901,Census Tract 9.01; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,190,105,4389,413,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111000902,Census Tract 9.02; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,167,97,4754,801,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001000,Census Tract 10; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,749,500,5066,773,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001100,Census Tract 11; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,884,365,4836,505,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001200,Census Tract 12; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,0,11,3561,656,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001300,Census Tract 13; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,269,211,6336,683,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001402,Census Tract 14.02; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,502,260,7176,770,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001403,Census Tract 14.03; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,216,212,7003,650,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001404,Census Tract 14.04; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,169,137,9554,1058,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001501,Census Tract 15.01; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,823,402,5091,378,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001502,Census Tract 15.02; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,321,191,4945,734,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001702,Census Tract 17.02; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,124,87,4178,429,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001703,Census Tract 17.03; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,394,197,5720,622,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001704,Census Tract 17.04; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,818,358,4283,732,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001801,Census Tract 18.01; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,169,117,7771,1186,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001803,Census Tract 18.03; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,40,36,1967,205,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001804,Census Tract 18.04; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,142,132,2947,276,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001805,Census Tract 18.05; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,160,148,3890,738,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001806,Census Tract 18.06; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,101,103,2225,282,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001901,Census Tract 19.01; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,273,213,4535,505,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111001902,Census Tract 19.02; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,224,190,4932,544,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111940001,Census Tract 9400.01; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,753,475,5281,556,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Yellowstone County,30111940002,Census Tract 9400.02; Yellowstone County; Montana,IncomePoverty,B06012,B06012_003,181,138,3323,525,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Beaverhead County,30001000100,Census Tract 1; Beaverhead County; Montana,IncomePoverty,B06012,B06012_003,91,43,1440,216,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Beaverhead County,30001000200,Census Tract 2; Beaverhead County; Montana,IncomePoverty,B06012,B06012_003,437,255,3903,225,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Beaverhead County,30001000300,Census Tract 3; Beaverhead County; Montana,IncomePoverty,B06012,B06012_003,338,230,3831,120,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Big Horn County,30003000100,Census Tract 1; Big Horn County; Montana,IncomePoverty,B06012,B06012_003,570,223,4298,186,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Big Horn County,30003940400,Census Tract 9404; Big Horn County; Montana,IncomePoverty,B06012,B06012_003,123,83,1463,269,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Big Horn County,30003940500,Census Tract 9405; Big Horn County; Montana,IncomePoverty,B06012,B06012_003,194,107,1324,204,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Big Horn County,30003940600,Census Tract 9406; Big Horn County; Montana,IncomePoverty,B06012,B06012_003,869,492,3348,364,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
